"Test Case ID","Test Case Title","Description","Pre-conditions","Test Steps","Expected Result","Date Tested","Status"
"TC-001","Login Page UI and Owner Login","Verify that the updated login UI renders correctly and an owner can log in with valid credentials.","Application is running. Demo owner account exists: owner@pmh.com / Password123!.","1. Navigate to /login. 2. Verify the Dia Oc Hub logo, Email field, Mật khẩu field, and Đăng nhập ngay button are visible. 3. Enter owner@pmh.com. 4. Enter Password123!. 5. Click Đăng nhập ngay.","Owner is authenticated and redirected to /owner/dashboard. Login form does not remain stuck in loading state.","","Not Run"
"TC-002","Invalid Login Rejected","Verify that invalid credentials are rejected from the updated login UI.","Application is running. Demo owner account exists. User enters incorrect password with at least 6 characters.","1. Navigate to /login. 2. Enter owner@pmh.com. 3. Enter WrongPassword123. 4. Click Đăng nhập ngay.","Login fails. Error message such as Incorrect password or Không thể đăng nhập lúc này is displayed. User remains on /login.","","Not Run"
"TC-003","Role-Based Route Protection","Verify that a tenant cannot access owner pages.","Tenant account exists and is logged in.","1. Log in as tenant1@pmh.com. 2. Manually navigate to /owner/dashboard.","Tenant is blocked or redirected to the tenant dashboard. Owner data is not visible.","","Not Run"
"TC-004","Owner Create Property","Verify that an owner can create a new property.","Owner is logged in. Database is available.","1. Navigate to /owner/properties. 2. Click create new property. 3. Enter property code, name, address, city, and unit count. 4. Submit form.","Property is created successfully and appears in the owner property list.","","Not Run"
"TC-005","Duplicate Property Code Prevention","Verify that duplicate property codes are rejected.","Owner is logged in. A property with code PMH-RIVER already exists in demo data.","1. Navigate to create property page. 2. Enter property code PMH-RIVER. 3. Complete required fields. 4. Submit form.","System rejects the duplicate property code and displays a validation/error message.","","Not Run"
"TC-006","Owner Add Unit","Verify that an owner can add a unit to an owned property.","Owner is logged in. At least one property exists.","1. Open an owned property detail page. 2. Click add unit. 3. Enter unit code, rent, deposit, floor, area, and furnishing details. 4. Submit form.","Unit is created and appears under the selected property.","","Not Run"
"TC-007","Duplicate Unit Code Prevention","Verify that duplicate unit codes within the same property are rejected.","Owner is logged in. Property already has unit 01.","1. Open property detail page. 2. Click add unit. 3. Enter unit code 01. 4. Complete required fields. 5. Submit form.","System rejects duplicate unit code for the same property.","","Not Run"
"TC-008","Manager Assignment Invite Code","Verify that an owner can generate a manager invite code.","Owner is logged in. Property has no conflicting active manager invite/assignment rule issue.","1. Open owner property detail page. 2. Click generate manager invite code. 3. Copy displayed invite code.","Manager invite code is generated and displayed with expiration information.","","Not Run"
"TC-009","Manager Requests Property Assignment","Verify that a manager can request assignment using a valid invite code.","Manager account exists. Owner generated valid manager invite code.","1. Log in as manager@pmh.com. 2. Navigate to manager dashboard. 3. Enter the manager invite code. 4. Submit request.","Manager assignment request is created and shown as pending.","","Not Run"
"TC-010","Owner Approves Manager Assignment","Verify that an owner can approve a pending manager assignment request.","Owner is logged in. Pending manager assignment request exists.","1. Navigate to /owner/requests. 2. Locate manager assignment request. 3. Approve request.","Manager becomes actively assigned to the property. Manager can see the assigned property.","","Not Run"
"TC-011","Tenant Unit Invite Code","Verify that an owner can generate a tenant invite code for a vacant unit.","Owner is logged in. A vacant unit exists.","1. Open property detail page. 2. Select a vacant unit. 3. Generate tenant invite code.","Tenant invite code is displayed and tied to the selected vacant unit.","","Not Run"
"TC-012","Tenant Requests Unit Connection","Verify that a tenant can request connection to a unit using a valid invite code.","Tenant account exists. Valid tenant unit invite code exists.","1. Log in as tenant1@pmh.com. 2. Navigate to /tenant/dashboard. 3. Enter unit invite code. 4. Submit request.","Connection request is created and shown as pending on tenant dashboard.","","Not Run"
"TC-013","Owner Approves Tenant Request and Creates Lease","Verify that owner can approve tenant request and create a lease.","Owner is logged in. Pending tenant connection request exists.","1. Navigate to /owner/requests. 2. Open pending tenant request. 3. Enter lease start date, end date, rent, deposit, management fee, and due day. 4. Submit approval.","Lease is created. Unit status becomes occupied. Tenant can view contract.","","Not Run"
"TC-014","Manager Approves Tenant Request for Assigned Property","Verify that assigned manager can approve tenant request for assigned property.","Manager is logged in and assigned to the property. Pending tenant request exists for that property.","1. Navigate to /manager/requests. 2. Open tenant request. 3. Enter lease details. 4. Submit approval.","Lease is created only if the manager is assigned to the property. Request status becomes approved.","","Not Run"
"TC-015","Tenant Multiple Active Leases","Verify that one tenant can have more than one active rental.","Tenant has one active lease. A second vacant unit and valid invite code exist.","1. Log in as the tenant. 2. Submit second valid unit invite code. 3. Owner or manager approves request and creates second lease. 4. Return to tenant dashboard and contracts page.","Tenant dashboard and contracts page show multiple active rentals/contracts.","","Not Run"
"TC-016","Expired Lease Auto Cleanup","Verify that an active lease with past end date is marked expired when relevant pages load.","A lease exists with status ACTIVE and end date before current date.","1. Log in as owner, manager, or tenant related to the lease. 2. Open dashboard, property detail, contract, or invoice page. 3. Refresh data.","Past active lease is no longer displayed as active. Lease status becomes EXPIRED and unit becomes vacant if applicable.","","Not Run"
"TC-017","Tenant Requests Early Lease Termination","Verify that tenant can request early termination for an active lease.","Tenant is logged in and has an active lease with no existing termination request.","1. Navigate to /tenant/contracts. 2. Enter termination note. 3. Submit early termination request.","Termination request is saved. Owner/manager can see it in lease termination requests.","","Not Run"
"TC-018","Owner Terminates Lease","Verify that owner can terminate an active lease.","Owner is logged in. Active lease exists under owned property.","1. Open property detail page. 2. Locate occupied unit with active lease. 3. Click terminate lease. 4. Confirm action.","Lease status becomes TERMINATED. Unit becomes vacant and remains in history.","","Not Run"
"TC-019","Configure Receiving Account","Verify that owner/manager can configure payment receiving account for a property.","Owner or assigned manager is logged in. Property exists.","1. Navigate to invoices page. 2. Select a property. 3. Enter bank code, bank name, account number, account name, and transfer note template. 4. Save account.","Receiving account is saved and used for tenant payment instructions.","","Not Run"
"TC-020","Generate Monthly Invoices","Verify that owner/manager can generate monthly invoices from active leases.","Owner or assigned manager is logged in. Active leases exist for selected billing month.","1. Navigate to /owner/invoices or /manager/invoices. 2. Select billing year and month. 3. Preview invoices. 4. Create monthly invoices.","Invoices are generated for eligible active leases. Existing monthly invoices are skipped.","","Not Run"
"TC-021","Prevent Duplicate Monthly Invoice","Verify that duplicate invoice for same lease and billing month is prevented.","Invoice already exists for a lease and billing month.","1. Navigate to invoices page. 2. Select same billing year and month. 3. Preview invoices. 4. Attempt to create invoice again.","System skips existing invoice or displays duplicate prevention message. No duplicate invoice is created.","","Not Run"
"TC-022","Tenant Views VietQR Payment Instructions","Verify that tenant can see payment instructions for an unpaid invoice.","Tenant is logged in. Tenant has unpaid invoice. Property receiving account exists.","1. Navigate to /tenant/payments. 2. Open unpaid invoice section. 3. Review bank transfer and QR details.","Tenant sees bank name, account number, account name, transfer content, and VietQR image when configured.","","Not Run"
"TC-023","Tenant Uploads Payment Proof","Verify that tenant can submit payment proof for an invoice.","Tenant is logged in. Tenant has unpaid or partially paid invoice. Supabase payment proof bucket is configured.","1. Navigate to /tenant/payments. 2. Select invoice. 3. Enter paid amount and transfer reference. 4. Upload proof image. 5. Submit payment proof.","Payment proof is uploaded. Payment status becomes PENDING. Invoice becomes PENDING_REVIEW if applicable.","","Not Run"
"TC-024","Prevent Tenant Overpayment","Verify that tenant cannot submit payment amount greater than remaining balance.","Tenant is logged in. Invoice has known remaining balance.","1. Navigate to /tenant/payments. 2. Enter paid amount greater than remaining balance. 3. Submit payment proof.","System rejects overpayment and displays an error. No payment record is created.","","Not Run"
"TC-025","Owner Verifies Payment Proof","Verify that owner can verify a pending payment proof.","Owner is logged in. Pending payment proof exists for owned property invoice.","1. Navigate to /owner/invoices. 2. Open pending payment proof. 3. View proof. 4. Click verify.","Payment status becomes VERIFIED. Invoice paid total updates. Invoice status becomes PAID or PARTIALLY_PAID depending on amount.","","Not Run"
"TC-026","Manager Rejects Payment Proof","Verify that assigned manager can reject invalid payment proof.","Manager is logged in and assigned to property. Pending payment proof exists.","1. Navigate to /manager/invoices. 2. Open pending payment proof. 3. Enter rejection note. 4. Click reject.","Payment status becomes REJECTED. Rejection note is saved. Invoice balance remains unpaid/outstanding.","","Not Run"
"TC-027","Owner Creates Expense","Verify that owner can create an expense for owned property.","Owner is logged in. At least one owned property exists.","1. Navigate to /owner/revenue. 2. Select property. 3. Enter category, amount, expense date, vendor, note, and optional receipt URL. 4. Submit expense.","Expense is created with status ACTIVE and included in revenue analytics.","","Not Run"
"TC-028","Manager Expense Permission","Verify that manager can only create expenses for assigned properties and void expenses they created.","Manager is logged in. Manager has at least one assigned property and one unassigned property exists.","1. Navigate to /manager/revenue. 2. Create expense for assigned property. 3. Attempt to create or access expense for unassigned property. 4. Attempt to void another user's expense if visible.","Manager can create expense for assigned property only. Unassigned property action is blocked. Manager can void only own expenses.","","Not Run"
"TC-029","Operational Alerts and Notifications","Verify that alerts are generated and displayed to correct roles.","Demo data includes overdue invoice, expiring lease, vacant unit, and pending payment review conditions.","1. Log in as owner. 2. Open /owner/notifications. 3. Log in as manager and open /manager/notifications. 4. Log in as tenant and open /tenant/notifications.","Owner/manager see operational alerts for authorized properties. Tenant sees only personal overdue invoice and lease-expiration alerts.","","Not Run"
"TC-030","Future Maintenance Request Workflow","Verify future tenant maintenance request feature once implemented.","Future feature. Tenant support/request module is not implemented yet.","1. Log in as tenant. 2. Navigate to future /tenant/requests page. 3. Create maintenance request with category, priority, description, and optional attachment. 4. Log in as owner/manager. 5. Review and update request status.","Future expected result: tenant request is created, owner/manager can track and update status, tenant sees status history.","","Future"
"TC-031","Manual Owner Registration","Verify that a new owner can register using manual registration.","Application is running. Email and phone are not already used.","1. Navigate to /register. 2. Select owner registration. 3. Enter full name, email, phone, and password. 4. Submit registration.","Owner account is created and user can log in with the new credentials.","","Not Run"
"TC-032","Manual Manager Registration","Verify that a new manager can register using manual registration.","Application is running. Email and phone are not already used.","1. Navigate to /register. 2. Select manager registration. 3. Enter full name, email, phone, and password. 4. Submit registration.","Manager account is created and user can log in with the new credentials.","","Not Run"
"TC-033","Manual Tenant Registration","Verify that a new tenant can register using manual registration.","Application is running. Email and phone are not already used.","1. Navigate to /register. 2. Select tenant registration. 3. Enter full name, email, phone, and password. 4. Submit registration.","Tenant account is created and user can log in with the new credentials.","","Not Run"
"TC-034","Logout","Verify that a logged-in user can log out successfully.","Any user is logged in.","1. Click logout in the sidebar. 2. Wait for redirect. 3. Try to open the previous protected dashboard URL.","User is redirected to /login. Protected dashboard cannot be accessed without logging in again.","","Not Run"
